epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7586,1.60194,2.58841,1.77669,0.45395,0.43326,0.38971,0.19879,2.07679,2.57443,2.41016,0.000469005,0.000469005,0.000469005
2,95.4987,1.74137,2.02356,1.88449,0.50534,0.20904,0.1516,0.0605,2.42751,5.0818,2.75389,0.00092974,0.00092974,0.00092974
3,127.711,1.83397,2.0798,1.97608,0.39315,0.15999,0.10486,0.05019,2.67647,4.03929,4.14385,0.00137476,0.00137476,0.00137476
4,160.821,1.82268,2.06925,1.97975,0.38244,0.43864,0.32944,0.13984,2.17461,4.66219,2.5562,0.00135826,0.00135826,0.00135826
5,193.103,1.79839,2.05877,1.94883,0.37206,0.3396,0.28856,0.13574,2.28658,3.2479,2.53602,0.00133469,0.00133469,0.00133469
6,226.453,1.74151,1.9918,1.91339,0.47259,0.4647,0.48274,0.21007,1.95414,2.35223,2.32955,0.00131111,0.00131111,0.00131111
7,258.849,1.69826,1.86533,1.89413,0.50245,0.55584,0.5069,0.23031,1.93162,4.20144,2.23751,0.00128753,0.00128753,0.00128753
8,290.411,1.67145,1.86406,1.87193,0.55749,0.6534,0.63566,0.31015,1.98054,2.1695,2.29053,0.00126395,0.00126395,0.00126395
9,322.655,1.66855,1.75729,1.84857,0.686,0.65153,0.67792,0.36857,1.70822,2.15357,2.05373,0.00124037,0.00124037,0.00124037
10,355.719,1.62585,1.67694,1.81048,0.6298,0.60535,0.63762,0.32503,1.81373,1.86576,2.08355,0.00121679,0.00121679,0.00121679
11,389.06,1.58164,1.64395,1.76898,0.67319,0.52459,0.57182,0.28855,1.84972,2.58416,2.17129,0.00119322,0.00119322,0.00119322
12,421.756,1.57177,1.60612,1.76533,0.7014,0.66345,0.73724,0.39075,1.63667,1.63507,1.97468,0.00116964,0.00116964,0.00116964
13,454.058,1.55804,1.54663,1.74222,0.69845,0.72351,0.78274,0.43136,1.65835,1.49424,1.96367,0.00114606,0.00114606,0.00114606
14,487.223,1.55724,1.55833,1.75925,0.56796,0.70616,0.6404,0.33708,1.75711,1.7104,2.10789,0.00112248,0.00112248,0.00112248
15,521.031,1.5746,1.55234,1.75686,0.70607,0.73362,0.76922,0.42008,1.64915,1.39856,1.97516,0.0010989,0.0010989,0.0010989
16,553.434,1.51516,1.45824,1.70936,0.62989,0.75308,0.69856,0.37038,1.77175,1.67947,2.07777,0.00107532,0.00107532,0.00107532
17,587.88,1.48945,1.40143,1.68133,0.79737,0.76491,0.80932,0.43161,1.63542,1.4271,1.92905,0.00105174,0.00105174,0.00105174
18,619.401,1.49668,1.47143,1.70452,0.78645,0.7141,0.76869,0.39561,1.63353,1.53202,1.97101,0.00102817,0.00102817,0.00102817
19,653.715,1.47293,1.38388,1.67356,0.67187,0.72584,0.76884,0.39803,1.62442,1.49233,1.92112,0.00100459,0.00100459,0.00100459
20,686.55,1.45926,1.36235,1.66335,0.80088,0.76656,0.84681,0.45984,1.46251,1.14533,1.75696,0.000981008,0.000981008,0.000981008
21,719.938,1.44355,1.35357,1.64375,0.74575,0.75219,0.82393,0.49221,1.57366,1.16235,1.87486,0.00095743,0.00095743,0.00095743
22,752.265,1.40227,1.27914,1.63864,0.79978,0.81871,0.85447,0.50744,1.48957,1.09824,1.83504,0.000933851,0.000933851,0.000933851
23,786.251,1.43357,1.2428,1.64171,0.84318,0.81206,0.87319,0.52216,1.47897,1.16217,1.79162,0.000910273,0.000910273,0.000910273
24,818.394,1.39153,1.22056,1.60562,0.81124,0.74894,0.85209,0.51023,1.45635,1.15418,1.75875,0.000886694,0.000886694,0.000886694
25,851.701,1.43157,1.26036,1.64029,0.82669,0.80945,0.89082,0.53299,1.49158,1.01303,1.79898,0.000863116,0.000863116,0.000863116
26,884.463,1.36447,1.21978,1.58652,0.81127,0.84434,0.85822,0.47715,1.59017,1.20642,1.91221,0.000839537,0.000839537,0.000839537
27,916.888,1.37087,1.20053,1.59606,0.80444,0.87037,0.88982,0.53023,1.47465,1.02085,1.8117,0.000815959,0.000815959,0.000815959
28,950.305,1.34133,1.13227,1.56655,0.80159,0.86891,0.88205,0.52272,1.49576,1.02387,1.79524,0.00079238,0.00079238,0.00079238
29,982.602,1.36078,1.15848,1.5802,0.79696,0.78611,0.82347,0.50514,1.54198,1.13558,1.84586,0.000768802,0.000768802,0.000768802
30,1015.68,1.32361,1.13484,1.54722,0.86165,0.85418,0.91409,0.54009,1.45882,0.99661,1.78101,0.000745223,0.000745223,0.000745223
31,1048.28,1.33216,1.12425,1.55755,0.89873,0.8208,0.92875,0.5408,1.43433,1.07797,1.75727,0.000721645,0.000721645,0.000721645
32,1081.78,1.27246,1.11321,1.51275,0.87782,0.8424,0.8904,0.56041,1.37382,0.87824,1.71942,0.000698066,0.000698066,0.000698066
33,1114.19,1.27738,1.04258,1.50571,0.77557,0.8443,0.84426,0.51012,1.4843,1.0678,1.83358,0.000674488,0.000674488,0.000674488
34,1147.53,1.23559,1.06006,1.49733,0.79577,0.9067,0.90597,0.5793,1.40058,0.975,1.74682,0.000650909,0.000650909,0.000650909
35,1180.37,1.24124,1.03172,1.489,0.78159,0.85988,0.84663,0.53067,1.40898,0.9518,1.75305,0.000627331,0.000627331,0.000627331
36,1213.56,1.1964,0.98086,1.46343,0.85393,0.90553,0.92212,0.56657,1.47585,0.88581,1.82279,0.000603752,0.000603752,0.000603752
37,1245.69,1.22065,0.99844,1.45939,0.84496,0.84188,0.90812,0.5857,1.36756,0.8236,1.70342,0.000580174,0.000580174,0.000580174
38,1279.14,1.20685,0.97351,1.44838,0.85915,0.87,0.90938,0.58162,1.38903,0.79967,1.73044,0.000556595,0.000556595,0.000556595
39,1311.34,1.19452,0.97391,1.44427,0.85531,0.90061,0.92677,0.58526,1.39299,0.82889,1.76411,0.000533017,0.000533017,0.000533017
40,1344.34,1.17561,0.95716,1.44709,0.89287,0.89237,0.93619,0.60205,1.33409,0.83219,1.68975,0.000509438,0.000509438,0.000509438
41,1376.61,1.14934,0.98145,1.43484,0.90697,0.9189,0.94527,0.62286,1.31955,0.75918,1.66025,0.00048586,0.00048586,0.00048586
42,1409.75,1.15278,0.91675,1.42839,0.88855,0.89581,0.94079,0.62373,1.29134,0.76696,1.65006,0.000462281,0.000462281,0.000462281
43,1442.12,1.13587,0.88587,1.40999,0.88435,0.88651,0.9278,0.58818,1.27705,0.8381,1.6246,0.000438703,0.000438703,0.000438703
44,1475.38,1.17214,0.9099,1.44421,0.82684,0.92931,0.94001,0.61701,1.31368,0.83856,1.6625,0.000415124,0.000415124,0.000415124
45,1507.47,1.08692,0.90241,1.37741,0.9177,0.9285,0.94718,0.62663,1.30594,0.74731,1.67257,0.000391546,0.000391546,0.000391546
46,1540.35,1.116,0.88519,1.3931,0.89538,0.91891,0.93922,0.6196,1.24521,0.68422,1.62316,0.000367967,0.000367967,0.000367967
47,1573.46,1.0811,0.85208,1.37809,0.84161,0.9213,0.92948,0.61967,1.32755,0.73457,1.69434,0.000344389,0.000344389,0.000344389
48,1605.84,1.06414,0.91574,1.34689,0.88194,0.91934,0.93817,0.61578,1.26719,0.77663,1.59401,0.00032081,0.00032081,0.00032081
49,1638.59,1.05729,0.81914,1.35415,0.93441,0.91625,0.94962,0.64262,1.2503,0.66674,1.60831,0.000297232,0.000297232,0.000297232
50,1670.67,1.05632,0.80421,1.34252,0.92167,0.92722,0.95309,0.63973,1.24781,0.66016,1.61223,0.000273654,0.000273654,0.000273654
51,1705.79,1.04929,0.72294,1.41351,0.90911,0.90468,0.93402,0.62734,1.28546,0.735,1.65261,0.000250075,0.000250075,0.000250075
52,1737.71,1.03306,0.64194,1.39824,0.91064,0.88727,0.94439,0.61033,1.28754,0.82794,1.65042,0.000226497,0.000226497,0.000226497
53,1770.41,0.9872,0.6353,1.34861,0.90323,0.92793,0.95662,0.64443,1.2635,0.68548,1.63961,0.000202918,0.000202918,0.000202918
54,1802.71,0.94768,0.61255,1.30098,0.91635,0.93437,0.9531,0.64687,1.22514,0.65469,1.60572,0.00017934,0.00017934,0.00017934
55,1835.67,0.9179,0.62768,1.28676,0.91464,0.92425,0.94759,0.6399,1.23243,0.66153,1.61001,0.000155761,0.000155761,0.000155761
56,1868.17,0.90795,0.58428,1.29796,0.92848,0.94894,0.9599,0.64404,1.21539,0.62214,1.60694,0.000132183,0.000132183,0.000132183
57,1900.67,0.91418,0.56528,1.29203,0.94229,0.93828,0.96004,0.65198,1.22699,0.62558,1.61165,0.000108604,0.000108604,0.000108604
58,1932.05,0.88274,0.53325,1.25446,0.92162,0.9283,0.95486,0.65178,1.21602,0.64826,1.59843,8.50255e-05,8.50255e-05,8.50255e-05
59,1964.27,0.86566,0.54472,1.2441,0.92747,0.93334,0.95407,0.65805,1.19521,0.62055,1.57877,6.1447e-05,6.1447e-05,6.1447e-05
60,1996.1,0.87674,0.52903,1.26393,0.93068,0.93389,0.95724,0.65649,1.2031,0.63203,1.58965,3.78685e-05,3.78685e-05,3.78685e-05
